Primary Orientation,North,East,South,West
Evenly Distributed,0.25,0.25,0.25,0.25
North,0.55,0.15,0.15,0.15
East,0.55,0.15,0.15,0.15
South,0.55,0.15,0.15,0.15
West,0.55,0.15,0.15,0.15
