Operability,Flow coefficient
Fixed,0.0033
Awning Window (Single Sash),0.0096
Awning Window (Multiple Sash),0.021
Vertical Slider (Pre-1970),0.021
Vertical Slider (Post-1970),0.0096
Horizontal Slider,0.021
