Operability,ALUMINUM,ALUMINUM_TB,VINYL,WOOD
FIXED,0.23,0.23,0.23,0.23
AWNING_SINGLE,0.23,0.23,0.23,0.23
AWNING_MULTI,0.23,0.23,0.23,0.23
VERT_PRE,0.23,0.23,0.23,0.23
VERT_POST,0.23,0.23,0.23,0.23
HORIZ,0.23,0.23,0.23,0.23
