Operability,ALUMINUM,ALUMINUM_TB,VINYL,WOOD
FIXED,0.56,0.56,0.52,0.52
AWNING_SINGLE,0.5,0.5,0.5,0.5
AWNING_MULTI,0.5,0.5,0.5,0.5
VERT_PRE,0.5,0.5,0.5,0.5
VERT_POST,0.5,0.5,0.5,0.5
HORIZ,0.5,0.5,0.5,0.5
