Heating Setpoint,Heating Degree Hours
55,14.46
56,16.34
57,18.37
58,20.53
59,22.84
60,25.29
61,27.85
62,30.58
63,33.46
64,36.48
65,39.65
66,42.97
67,46.43
68,50.06
69,53.83
70,57.76
71,61.83
72,66.07
73,70.49
74,75.06
75,79.8
76,84.75
77,89.86
78,95.18
79,100.7
80,106.36
81,112.26
82,118.29
83,124.56
84,130.98
85,137.58
